,F1,F2,F3,F4,F5,F6
tBA-m-X,0.0058531569322589055,-0.02378726855500296,0.05967603724366765,0.002169212916370652,0.4243499229502101,0.016828607087576657
tBA-m-Y,-0.04240687407915581,-0.01517893553086095,-0.0032369178835610145,-0.09711155161570165,0.26287501338721164,-0.007000642283757043
tBA-m-Z,-0.05696632407436371,-0.03340786324973577,-0.10347684845889728,-0.119392538610688,-0.3766654560315827,-0.027322111199438576
tGravA-m-X,-0.05837821581789387,-0.959164353729671,0.06739136496348229,-0.08980310308028226,-0.02172202874369244,-0.044518615555873685
tGravA-m-Y,-0.12134179832074721,0.797594619058199,-0.01808578640636552,0.06227100009327501,0.0038958311562283165,0.04371000926226303
tGravA-m-Z,-0.09786480069491806,0.6831741632960556,-0.03827961762132285,0.0318440111223646,0.006438311961536515,-0.11718957988160801
tBAJ-m-X,0.0016127476285378063,-0.032730875076690175,-0.016885035367671494,-0.4921894060107852,-0.046993434496559114,-0.00024266778604431158
tBAJ-m-Y,0.00869199198827666,0.0621817280401477,-0.11089696309913076,0.5649143584219517,-0.046494978882274704,0.011769065954204672
tBAJ-m-Z,-0.020390385876702378,0.008096896134554228,0.10531665924160936,0.41388376643179897,-0.0356988035148129,-0.0020333325933872487
tBG-m-X,0.01245691626182662,0.09537276210723342,-0.9263262090394181,-0.017169407076264617,-0.03020545553350924,0.024933240241012185
tBG-m-Y,-0.05992116340641522,-0.1572770975730325,0.8027835516666507,0.15862856725151167,0.007782472282584473,-0.00572702621644067
tBG-m-Z,0.02595975966790425,0.1504263084726878,0.2838401182020696,-0.09841366643182758,-0.011067215891667023,-0.0010922612332043553
tBGJ-m-X,0.009716968890497155,-0.034307943170189384,0.0676823903848176,-0.03703573428587,-0.3290175336588642,0.016873465877537647
tBGJ-m-Y,0.017818279496703036,0.040210614769231066,-0.01203331304053126,-0.14873074560856855,0.43036016974000835,0.016308516601936756
tBGJ-m-Z,-0.0011941944384293553,-0.031605491128729186,-0.03203740963086522,0.07373527191827599,0.17573932275249163,-0.017967703116052298
tBAMg-m,0.9904559006050386,-0.009348035815375785,-0.002266378641753217,-0.020910373273626097,-0.020644717340133716,-0.07314799726795324
tGravAMg-m,0.9904559005605093,-0.009348035828913635,-0.0022663786511193354,-0.020910373267985685,-0.020644717335023554,-0.0731479971685086
tBAJMg-m,0.9879640141230387,0.0015620071026664836,0.005512668182644289,0.003344800742011766,0.014385572989649662,0.028414782600319557
tBGMg-m,0.9374901291042078,-0.02486267500798986,-0.011660404717898823,0.0022366696975344696,-0.003194427796048846,0.06654907093450808
tBGJMg-m,0.926523740970121,0.011859868384056659,-0.022276743352696096,0.014345766208031517,0.014832673401436569,0.24340054138520986
fBA-m-X,1.00354671441126,0.01940804333056787,0.022646143163511934,-0.015339885014489357,-0.009813094362939288,-0.08883349241580876
fBA-m-Y,0.9723023483538136,-0.02588599734953997,-0.00048486310776645405,-0.007347260334815072,-0.006204878010951331,-0.04654353983338448
fBA-m-Z,0.892444057321187,-0.036514951974703155,-0.030636019271561094,-0.011297238419105276,-0.01361310079447391,0.2035662173394964
fBAJ-m-X,0.992744699779812,0.012968018012067902,0.021305046610234187,-0.0011214400297725952,0.0072961661912593016,-0.04226794108436685
fBAJ-m-Y,0.9690115793733327,-0.008390743522457791,0.011219700370887898,0.007669744061502158,0.0033230717082232395,-0.02226856707438121
fBAJ-m-Z,0.8979782096932615,9.381900441037952e-05,-0.015120015348663954,0.00451824312938806,0.008027265126665538,0.2468772491624172
fBG-m-X,0.9508754860120905,-0.010081661513474262,0.015281091818117563,-0.0006818892229703441,0.014608962545771409,-0.025354632354218296
fBG-m-Y,0.8776700360272822,-0.0030929504811354758,-0.04789806609535251,0.015982201377816665,0.0032353932243569454,0.33183431706486805
fBG-m-Z,0.9403007934782079,-0.0250931875865013,-0.015573150138735307,0.005632249304378228,0.019726162023317173,0.06025575475077221
fBAMg-m,0.9920776387425806,0.017593856035230004,0.017979546874722602,-0.023231882316937298,-0.024214252568384085,-0.027826452858883004
fBBAJMg-m,0.9862030378255539,0.010302759296304526,0.017981446154373956,-0.0005786753803996267,-0.00112747589768104,0.020629943349616306
fBBGMg-m,0.918555241827306,0.0016888152942514496,-0.02324652027456504,0.007281724239027047,0.00540776353227641,0.22510902689915727
fBBGJMg-m,0.8735789020280194,0.022259084506200323,-0.015363030683974476,0.009311494693349982,0.006691846254539669,0.3461818401152406
