,F1,F2,F3,F4,F5,F6
tBA-m-X,0.007476805416663688,0.02952199205883531,0.04999702924118356,0.019092428726090654,0.421848383974121,0.01623818816215031
tBA-m-Y,-0.04630779037028969,0.007640809479683669,-0.008236080645633397,-0.084208654026373,0.257924802481693,-0.003934354485791796
tBA-m-Z,-0.04301306153328224,0.01160045666626276,-0.09634084613594093,-0.1272880343821074,-0.376132353829923,-0.0233229621966875
tGravA-m-X,0.2803937919372738,0.8677295493409066,-0.0007579300170936876,-0.009155963493063166,0.018281865373953664,-0.03974698408281236
tGravA-m-Y,-0.3987649110915131,-0.7488403166845382,0.04055564045114381,-0.007091528261360821,-0.029261507588370133,0.05090576002912427
tGravA-m-Z,-0.36921609758985774,-0.6404929137651598,-0.006858022807502572,-0.01930843396174785,-0.017448601036666504,-0.10656258073501138
tBAJ-m-X,0.00804334884589683,-0.004935944768975424,-0.0033411760889789166,-0.4883041035077955,-0.07624125203814355,0.002159475616846252
tBAJ-m-Y,-0.004625938331427446,-0.01018221843700129,-0.12058097861007316,0.5574448555867381,-0.009253005152026995,0.006198284821792298
tBAJ-m-Z,-0.015538411867330253,0.012155892017970167,0.09383213471550139,0.40663721728020674,-0.013320276125715898,-0.0013728520393176788
tBG-m-X,-0.030992297717819875,-0.032556367826002144,-0.9124570282153794,-0.0011312312689547616,0.0002503413979715883,0.009873310590145337
tBG-m-Y,0.011054802369576833,0.10020260036261908,0.7839514083862978,0.14866486896067427,-0.005541905516619367,0.008975170456862962
tBG-m-Z,-0.02547850037069185,-0.15990435653061918,0.29618688865305065,-0.1190410541276505,-0.03631266909394175,0.0023882421453314882
tBGJ-m-X,0.035099121711139984,0.018437066957267486,0.07596787929279468,-0.05015791625341091,-0.332577381109878,0.01723772799134432
tBGJ-m-Y,-0.007213652298595963,-0.03433796013731994,-0.012839880890821186,-0.13408758729502496,0.41780238826263366,0.014878270750788314
tBGJ-m-Z,0.002120482985204573,0.040511105719591455,-0.04264362641897957,0.08499918237964393,0.18356610470666246,-0.018461446543538235
tBAMg-m,0.96665914158776,0.14534309162177106,-0.014224249845078116,-0.01508058740951103,-0.034269973125721394,-0.13323201269221238
tGravAMg-m,0.9666591415696268,0.14534309162904813,-0.014224249842986633,-0.0150805874071121,-0.0342699731218133,-0.13323201259341852
tBAJMg-m,0.9813683510269573,0.13690878173519824,0.0055080635128926985,0.00450496517829522,-0.0018789462825017712,-0.034880815191217496
tBGMg-m,0.9493697801128929,0.1547788413348916,-0.008019699676073218,0.003473976434235606,-0.01801692261464027,0.00491084193173833
tBGJMg-m,0.9624116438133282,0.12104219598239024,0.005392183815462636,0.005021466994313183,-0.006222978208579959,0.1764836327858728
fBA-m-X,0.9660221249705152,0.11975823934499999,0.010144634050708005,-0.011457282152979876,-0.02516539148931888,-0.14884652065111606
fBA-m-Y,0.9601854626263772,0.15927980264774164,-0.010919788112329264,-0.0009561593189292896,-0.018857110201769788,-0.10645215400534036
fBA-m-Z,0.9380656792737617,0.1590313312533,-0.0097208117421686,-0.015513523081041996,-0.03177156118073261,0.14006461435183487
fBAJ-m-X,0.9672961098782913,0.12566384266568198,0.013430990418125665,0.0017315813582685106,-0.008174562883299968,-0.10325753399136753
fBAJ-m-Y,0.9558952684309887,0.14321698919703946,0.004336556081033847,0.011400295666672066,-0.010438456471639903,-0.08265151638586231
fBAJ-m-Z,0.9393763488059849,0.12662670792522532,0.012701142433140182,-0.004474430710370382,-0.013042405987494269,0.1817957745780023
fBG-m-X,0.9375824914968214,0.14167436100653027,0.007926379509833778,0.0036881073533222702,0.0005913239922918611,-0.08440007691469027
fBG-m-Y,0.9383148737176183,0.12932740936617473,-0.009676249180846036,0.0038485351986085312,-0.018102387724938107,0.2646982581408327
fBG-m-Z,0.9502519722405256,0.1564207121159339,-0.013370598906007794,0.00822930361221915,0.005412017117096275,-0.0014582449635461134
fBAMg-m,0.9685529775201248,0.11913664337599206,0.013643272861933169,-0.02254181389682168,-0.0416001142168339,-0.0891268246615071
fBBAJMg-m,0.9753744719061026,0.12718358239933808,0.018040742519747327,-0.0007618997710469596,-0.018252397052513535,-0.04205623461081154
fBBGMg-m,0.9544715266135901,0.12867789944600053,0.0018864912033654153,-0.0006536779964702075,-0.014833388729757462,0.15931113220288987
fBBGJMg-m,0.9284918980138333,0.10294063262515069,0.026423807376332216,-0.006406063810964613,-0.018008293261496125,0.27940147660577613
