feature,KMO
tBA-m-X,0.45409389575106207
tBAJ-m-Z,0.46276014282846156
tBG-m-Y,0.5021814705393927
tBG-m-X,0.5105439020209597
tBGJ-m-Z,0.5270072052687136
tBA-m-Z,0.5329341013328599
tBAJ-m-Y,0.5499422557735759
tBGJ-m-Y,0.5507017774039238
tBAJ-m-X,0.5529979915165686
tBA-m-Y,0.5855006453733163
tBGJ-m-X,0.6035770528570583
tBG-m-Z,0.7071462198968227
tGravA-m-X,0.8750209832188772
tGravAMg-m,0.888259061823548
tBAMg-m,0.8882590618235514
tBAJMg-m,0.9069055769728048
fBAJ-m-X,0.910802489854574
fBAJ-m-Y,0.912343927817686
fBAJ-m-Z,0.920326325715906
tGravA-m-Y,0.9238135862501595
fBA-m-Z,0.9357304630433585
tBGJMg-m,0.9393359320048215
fBA-m-Y,0.9461013301840531
fBG-m-Y,0.9465693349108083
tGravA-m-Z,0.9473577499877938
fBBAJMg-m,0.9489072199169313
fBBGJMg-m,0.9511104551039755
fBA-m-X,0.952002196423344
tBGMg-m,0.9538311766913423
fBG-m-X,0.9558921388484785
fBBGMg-m,0.9674109275864125
fBAMg-m,0.9725820058760033
fBG-m-Z,0.9810942554360441
